,feature,importance
148,residencies,0.00011298300725047453
170,typography,7.559857434312471e-05
107,letterpress,6.564860953121671e-05
182,world music,5.395564318356114e-05
141,publishing,4.785471757352342e-05
79,fashion,4.1032765902517375e-05
62,design,3.2094296882076805e-05
53,comics,3.20904992404338e-05
157,social practice,1.719413801734482e-05
147,ready-to-wear,8.580034735810373e-06
48,chiptune,1.7108993505949862e-06
